Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
SKQ201610S,Slope Base Junction Box LJ01A - 250 m SW,RS01SLBS,44.52388,-125.39527,2016-07-15T10:49:38.000Z,CTD-001,*0000000000000100,2908,SKQ201610S_CTD-001,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201610S,Slope Base Junction Box LJ01A - 250 m SW,RS01SLBS,44.52388,-125.39527,2016-07-15T10:52:12.000Z,CTD-002,*0000000000000100,2908,SKQ201610S_CTD-002,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,1,*0000000000000100,2016-07-16T17:37:51.000Z,223.833,*0000000001000100,221.905,44.52876,-125.3867,7.0191,*0000000000000100,7.0178,*0000000000000100,3.443964,*0000000010000100,3.444236,*0000000010000100,33.9413,33.9455,2.2353,*0000000000000100,6.79528,7.75E-02,*0000000010000100,0.0827,97.9547,*0000000000000100,7.73,*0000000010000100,-9999999,-9999999,-9999999,0.028,0.161,1.15,*0000000000000100,*0000000000000100,2.45,48.52,31.76,0.01,0,*0000000000000100,*0000000000000100,33.937,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2248.66,*0000000000000100,*0000000000000100,706.09,22.6,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2326.93,-9999999,-9999999,7.813,34.49,2139.62,74.55,1.659,1.074
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,3,*0000000000000100,2016-07-16T17:40:44.000Z,202.361,*0000000001000100,200.628,44.52876,-125.38668,7.269,*0000000000000100,7.2827,*0000000000000100,3.462593,*0000000010000100,3.464165,*0000000010000100,33.9097,33.9134,2.5043,*0000000000000100,6.75793,7.81E-02,*0000000010000100,0.0854,97.8887,*0000000000000100,7.716,*0000000010000100,-9999999,-9999999,-9999999,0.017,0.097,1.15,*0000000000000100,*0000000000000100,2.35,44.01,30.23,0.02,0,*0000000000000100,*0000000000000100,33.908,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2241.27,*0000000000000100,*0000000000000100,706.16,22.5,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2320.32,-9999999,-9999999,7.813,34.2,2132.18,74.89,1.674,1.084
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,5,*0000000000000100,2016-07-16T17:42:51.000Z,182.099,*0000000001000100,180.549,44.52877,-125.3867,7.5998,*0000000000000100,7.6103,*0000000000000100,3.490004,*0000000010000100,3.491332,*0000000010000100,33.8935,33.8976,2.4,*0000000000000100,6.70794,7.68E-02,*0000000010000100,0.0842,97.9174,*0000000000000100,7.713,*0000000010000100,-9999999,-9999999,-9999999,0.014,0.118,1.1,*0000000000000100,*0000000000000100,2.35,42.64,29.93,0.03,0.02,*0000000000000100,*0000000000000100,33.894,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2243.38,*0000000000000100,*0000000000000100,722.21,22.6,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2321.41,-9999999,-9999999,7.806,34.57,2134.24,74.56,1.673,1.084
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,7,*0000000000000100,2016-07-16T17:45:16.000Z,162.146,*0000000001000100,160.774,44.52877,-125.38668,7.8451,*0000000000000100,7.8532,*0000000000000100,3.507558,*0000000010000100,3.508592,*0000000010000100,33.8537,33.8569,2.5125,*0000000010000100,6.67253,7.85E-02,*0000000010000100,0.0844,97.9118,*0000000000000100,7.713,*0000000010000100,2.505433,*0000000000000100,*0000000000000100,0.017,0.115,1.13,*0000000000000100,*0000000000000100,2.29,40,28.89,0.02,0,*0000000000000100,*0000000000000100,33.851,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2244.36,*0000000000000100,*0000000000000100,690.99,22.6,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2330.06,-9999999,-9999999,7.827,32.82,2132.87,78.67,1.773,1.149
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,9,*0000000000000100,2016-07-16T17:47:20.000Z,140.973,*0000000001000100,139.787,44.52878,-125.3867,8.1689,*0000000000000100,8.1468,*0000000000000100,3.527441,*0000000010000100,3.526565,*0000000010000100,33.7636,33.7755,2.7206,*0000000010000100,6.62791,7.77E-02,*0000000010000100,0.0819,97.974,*0000000000000100,7.721,*0000000010000100,2.779184,*0000000000000100,*0000000000000100,0.016,0.086,1.15,*0000000000000100,*0000000000000100,2.2,35.36,27.44,0.02,0,*0000000000000100,*0000000000000100,33.769,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2233.61,*0000000000000100,*0000000000000100,698.53,22.6,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2318.58,-9999999,-9999999,7.822,32.82,2122.62,78.18,1.77,1.148
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,11,*0000000000000100,2016-07-16T17:49:37.000Z,120.882,*0000000001000100,119.871,44.52877,-125.38668,8.4767,*0000000000000100,8.4766,*0000000000000100,3.543882,*0000000010000100,3.544359,*0000000010000100,33.6525,33.6576,2.9723,*0000000000000100,6.5871,7.93E-02,*0000000010000100,0.0807,98.0029,*0000000000000100,7.738,*0000000010000100,-9999999,-9999999,-9999999,0.019,0.09,1.17,*0000000000000100,*0000000000000100,2.07,30.88,25.64,0.02,0,*0000000000000100,*0000000000000100,33.645,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2217.99,*0000000000000100,*0000000000000100,655.15,22.5,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2312.35,-9999999,-9999999,7.848,30.49,2104.56,82.94,1.887,1.224
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,13,*0000000000000100,2016-07-16T17:51:42.000Z,100.926,*0000000001000100,100.087,44.52878,-125.38668,9.0625,*0000000000000100,9.0623,*0000000000000100,3.571502,*0000000010000100,3.571984,*0000000010000100,33.3971,33.4022,3.3849,*0000000000000100,6.51262,1.33E-01,*0000000010000100,0.0803,98.0131,*0000000000000100,7.761,*0000000010000100,-9999999,-9999999,-9999999,0.037,0.101,1.26,*0000000000000100,*0000000000000100,1.9,26.21,22.88,0.03,0.05,*0000000000000100,*0000000000000100,33.441,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2200.36,*0000000000000100,*0000000000000100,610.15,22.6,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2306.44,-9999999,-9999999,7.878,27.88,2083.24,89.24,2.043,1.326
SKQ201610S,Slope Base Shallow Profiler - 250 m E,"RS01SBPD,RS01SBPS",44.53694,-125.38888,2016-07-16T17:14:49.000Z,CTD-003,*0000000000000100,2907,SKQ201610S_CTD-003,*0000000000000100,15,*0000000000000100,2016-07-16T17:54:07.000Z,80.832,*0000000001000100,80.164,44.52878,-125.3867,9.6963,*0000000000000100,9.6981,*0000000000000100,3.584864,*0000000010000100,3.585187,*0000000010000100,32.9564,32.958,4.5498,*0000000000000100,6.44063,4.59E-01,*0000000010000100,0.0952,97.6473,*0000000000000100,7.84,*0000000010000100,-9999999,-9999999,-9999999,0.192,0.178,1.51,*0000000000000100,*0000000000000100,1.28,14.56,13.31,0.06,0.12,*0000000000000100,*0000000000000100,32.969,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2121.51,*0000000000000100,*0000000000000100,454.03,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2268.78,-9999999,-9999999,7.99,20.36,1989.5,111.65,2.576,1.674
