Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T17:28:57.000Z,CTD-001,*0000000000000100,2913,RR1809_CTD-001,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,1,*0000000000000100,2018-06-26T20:42:14.000Z,224.027,*0000000000000100,222.098,44.5251,-125.39576,7.1436,*0000000000000100,7.1475,*0000000000000100,3.456996,*0000000010000100,3.457406,*0000000010000100,33.9612,33.9619,2.1267,*0000000000000100,6.77503,6.84E-02,*0000000000000101,12.3576,4.5529,*0000000000000101,-2.578,*0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.331662624,43.32933429,33.77994362,0.014493747,0,*0000000000000100,*0000000000000100,33.963,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2225.36,*0000000000000100,*0000000000000100,728.39,20.2,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2298.21,-9999999,-9999999,7.796,35.42,2118.65,71.29,1.586,1.027
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,3,*0000000000000100,2018-06-26T20:44:38.000Z,204.203,*0000000000000100,202.454,44.52508,-125.39578,7.4625,*0000000000000100,7.4626,*0000000000000100,3.483624,*0000000000000100,3.483683,*0000000000000100,33.9479,33.9484,2.2041,*0000000000000100,6.72652,6.82E-02,*0000000000000101,12.3616,4.5484,*0000000000000101,-2.455,*0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.291884665,40.54823094,32.77478141,0.030863656,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2244.8,*0000000000000100,*0000000000000100,731.08,20.2,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2320.53,-9999999,-9999999,7.8,35.16,2136.3,73.34,1.638,1.062
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,5,*0000000000000100,2018-06-26T20:47:15.000Z,183.529,*0000000000000100,181.966,44.52508,-125.39576,7.7151,*0000000000000100,7.7119,*0000000000000100,3.503907,*0000000010000100,3.457406,*0000000010000100,33.9305,33.9313,2.2299,*0000000010000100,6.68882,6.70E-02,*0000000010000101,12.3629,4.5469,*0000000000000101,-2.1,*0000000010000100,1.994798517,*0000000000000100,*0000000000000100,0.025,0.049,1.35,*0000000000000100,*0000000000000100,2.245141672,38.84469263,31.92798276,0.0343054,0,*0000000000000100,*0000000000000100,33.942,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2221.45,*0000000000000100,*0000000000000100,788.01,20.2,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2286.39,-9999999,-9999999,7.765,37.6,2116.33,67.52,1.515,0.982
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,6,*0000000000000100,2018-06-26T20:47:35.000Z,183.762,*0000000000000100,182.197,44.52508,-125.39577,7.7031,*0000000000000100,7.7058,*0000000000000100,3.502939,*0000000000000100,3.503202,*0000000000000100,33.9316,33.9318,2.2091,*0000000010000100,6.69059,6.78E-02,*0000000000000101,12.363,4.5468,*0000000000000101,-1.986,*0000000000000100,2.360841239,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,7,*0000000000000100,2018-06-26T20:48:45.000Z,163.788,*0000000000000100,162.401,44.52506,-125.39578,8.0138,*0000000000000100,8.0083,*0000000000000100,3.527079,*0000000000000100,3.526639,*0000000000000100,33.8986,33.8992,2.495,*0000000000000100,6.64523,6.77E-02,*0000000010000101,12.3576,4.5529,*0000000000000101,-1.997,*0000000010000100,-9999999,-9999999,-9999999,0.087,0.073,1.56,*0000000000000100,*0000000000000100,2.153619626,35.03206245,30.44678155,0.018370374,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2203.91,*0000000000000100,*0000000000000100,742.53,20.2,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2277.33,-9999999,-9999999,7.789,35.05,2097.43,71.43,1.609,1.043
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,8,*0000000000000100,2018-06-26T20:49:05.000Z,163.437,*0000000000000100,162.053,44.52506,-125.3958,8.0414,*0000000000000100,8.0389,*0000000000000100,3.529177,*0000000010000100,3.457406,*0000000010000100,33.8945,33.895,2.5595,*0000000000000100,6.64128,6.82E-02,*0000000000000101,12.3572,4.5534,*0000000000000101,-2.286,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,33.903,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,9,*0000000000000100,2018-06-26T20:50:40.000Z,143.06,*0000000000000100,141.856,44.52508,-125.3958,8.2593,*0000000000000100,8.2551,*0000000000000100,3.544482,*0000000000000100,3.544195,*0000000000000100,33.8568,33.8578,2.8185,*0000000010000100,6.61047,6.73E-02,*0000000000000101,12.3555,4.5554,*0000000000000101,-0.493,*0000000010000100,2.735302292,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,2.047248793,33.64183778,28.86395043,0.022033636,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1995.3,*0000000000000100,*0000000000000100,309.75,20.2,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2186.8,-9999999,-9999999,8.115,14.5,1846.58,134.22,3.036,1.969
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,10,*0000000000000100,2018-06-26T20:50:53.000Z,143.662,*0000000000000100,142.452,44.52508,-125.39578,8.2683,*0000000000000100,8.2669,*0000000000000100,3.545181,*0000000000000100,3.545094,*0000000000000100,33.8553,33.8557,2.831,*0000000010000100,6.60919,6.70E-02,*0000000000000101,12.3555,4.5554,*0000000000000101,-0.316,*0000000000000100,2.550001549,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
RR1809,Slope Base Shallow Profiler - 500 m W,"RS01SBPD,RS01SBPS",44.525,-125.39567,2018-06-26T20:23:04.000Z,CTD-002,*0000000000001101,2908,RR1809_CTD-002,*0000000000000100,11,*0000000000000100,2018-06-26T20:52:58.000Z,122.57,*0000000000000100,121.544,44.5251,-125.39576,8.687,*0000000000000100,8.6822,*0000000000000100,3.574925,*0000000000000100,3.574594,*0000000000000100,33.7781,33.7791,3.0464,*0000000000000100,6.55094,6.97E-02,*0000000000000101,12.3544,4.5565,*0000000000000101,1.114,*0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.931086189,27.90408619,26.88279288,0.01652588,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2189.84,*0000000000000100,*0000000000000100,621.02,20.2,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2291.27,-9999999,-9999999,7.866,28.66,2075.03,86.15,1.958,1.27
