Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AT42-12,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","RS03AXPD,RS03AXPS",45.8305,-129.75317,2019-06-04T20:55:23.000Z,CTD-001,*0000000000000101,2641,AT42-12_CTD-001,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT42-12,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","RS03AXPD,RS03AXPS",45.8175,-129.74533,2019-06-05T17:09:28.000Z,CTD-002,*0000000000000101,757,AT42-12_CTD-002,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT42-12,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","RS03AXPD,RS03AXPS",45.82583,-129.74183,2019-06-05T23:06:57.000Z,CTD-003,*0000000000000101,505,AT42-12_CTD-003,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT42-12,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","RS03AXPD,RS03AXPS",45.8085,-129.74533,2019-06-06T19:16:00.000Z,CTD-004,*0000000000000101,1008,AT42-12_CTD-004,*0000000000000110,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT42-12,Oregon Offshore Shallow Profiler - 250 m W,"CE04OSPD,CE04OSPS",44.37383,-124.96,2019-06-13T21:38:14.000Z,CTD-005,*0000000000000100,580,AT42-12_CTD-005,*0000000000000100,1,*0000000000000100,2019-06-13T21:49:31.000Z,223.068,*0000000001000100,221.151,44.3739,-124.95984,6.9153,*0000000000000100,6.9148,*0000000000000100,3.437893,*0000000010000100,3.437925,*0000000010000100,33.9773,33.9782,1.9945,*0000000011000100,6.80987,0.0101,*0000000001000100,0.0258,99.3572,*0000000001000100,7.557,*0000000011000100,1.855513,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,2.2631,45.0083,33.9176,0.0267,-0.0001,*0000000000000100,*0000000000000100,33.9759,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2248.208494,*0000000000000100,*0000000000000100,893.82,26.3,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2294.13,-9999999,-9999999,7.711,43.8,2145.43,58.97,1.311,0.849
AT42-12,Oregon Offshore Shallow Profiler - 250 m W,"CE04OSPD,CE04OSPS",44.37383,-124.96,2019-06-13T21:38:14.000Z,CTD-005,*0000000000000100,580,AT42-12_CTD-005,*0000000000000100,3,*0000000000000100,2019-06-13T21:51:43.000Z,202.455,*0000000001000100,200.725,44.3739,-124.95989,7.1631,*0000000000000100,7.1508,*0000000000000100,3.458137,*0000000000000100,3.457269,*0000000000000100,33.965,33.9675,2.0131,*0000000001000100,6.77185,0.0139,*0000000001000100,0.0538,98.6632,*0000000001000100,7.557,*0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.2386,44.1836,32.946,0.046,0.041,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2262.615426,*0000000000000100,*0000000000000100,908.11,26.3,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2308.71,-9999999,-9999999,7.709,44.13,2159,59.49,1.328,0.86
AT42-12,Oregon Offshore Shallow Profiler - 250 m W,"CE04OSPD,CE04OSPS",44.37383,-124.96,2019-06-13T21:38:14.000Z,CTD-005,*0000000000000100,580,AT42-12_CTD-005,*0000000000000100,5,*0000000000000100,2019-06-13T21:55:12.000Z,182.462,*0000000001000100,180.911,44.37388,-124.9599,7.6737,*0000000000000100,7.671,*0000000000000100,3.499918,*0000000010000100,3.437925,*0000000010000100,33.9283,33.9299,2.3851,*0000000001000100,6.69519,0.0173,*0000000001000100,0.0403,98.9964,*0000000001000100,7.598,*0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.0843,38.3539,30.6915,0.0168,-0.0001,*0000000000000100,*0000000000000100,33.9289,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2231.026873,*0000000000000100,*0000000000000100,866.02,26.3,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2283.92,-9999999,-9999999,7.726,41.35,2127.65,62.02,1.391,0.901
AT42-12,Oregon Offshore Shallow Profiler - 250 m W,"CE04OSPD,CE04OSPS",44.37383,-124.96,2019-06-13T21:38:14.000Z,CTD-005,*0000000000000100,580,AT42-12_CTD-005,*0000000000000100,7,*0000000000000100,2019-06-13T21:58:21.000Z,162.231,*0000000001000100,160.86,44.37388,-124.95988,7.9542,*0000000000000100,7.9544,*0000000000000100,3.521305,*0000000000000100,3.521436,*0000000000000100,33.8952,33.8964,2.5549,*0000000001000100,6.6543,0.0116,*0000000001000100,0.0373,99.0719,*0000000001000100,7.617,*0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2.0153,35.5562,29.4418,0.0165,-0.0001,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2240.807084,*0000000000000100,*0000000000000100,856.28,26.3,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2297.33,-9999999,-9999999,7.734,40.5,2136.24,64.06,1.443,0.935
AT42-12,Oregon Offshore Shallow Profiler - 250 m W,"CE04OSPD,CE04OSPS",44.37383,-124.96,2019-06-13T21:38:14.000Z,CTD-005,*0000000000000100,580,AT42-12_CTD-005,*0000000000000100,9,*0000000000000100,2019-06-13T22:01:19.000Z,141.79,*0000000001000100,140.599,44.3739,-124.95996,8.209,*0000000000000100,8.2169,*0000000000000100,3.539221,*0000000010000100,3.437925,*0000000010000100,33.85,33.8489,2.7602,*0000000011000100,6.61822,0.0139,*0000000001000100,0.0312,99.2225,*0000000001000100,7.639,*0000000011000100,2.651922,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.9326,33.132,28.2481,0.0192,-0.0001,*0000000000000100,*0000000000000100,33.8541,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2206.590939,*0000000000000100,*0000000000000100,854.83,26.3,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2262.22,-9999999,-9999999,7.73,40.1,2103.55,62.94,1.424,0.923
AT42-12,Oregon Offshore Shallow Profiler - 250 m W,"CE04OSPD,CE04OSPS",44.37383,-124.96,2019-06-13T21:38:14.000Z,CTD-005,*0000000000000100,580,AT42-12_CTD-005,*0000000000000100,11,*0000000000000100,2019-06-13T22:04:12.000Z,121.505,*0000000001000100,120.491,44.37388,-124.95998,8.6443,*0000000000000100,8.6423,*0000000000000100,3.561031,*0000000000000100,3.561079,*0000000000000100,33.6732,33.6756,3.23,*0000000001000100,6.56163,0.0191,*0000000001000100,0.0273,99.3215,*0000000001000100,7.684,*0000000011000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.7668,26.7636,25.2094,0.0264,-0.0001,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2199.022765,*0000000000000101,*0000000000000100,748.3,26.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2273.92,-9999999,-9999999,7.788,34.62,2092.07,72.34,1.645,1.067
