Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,1,*0000000000000100,2021-08-03T01:39:41.000Z,221.888,*0000000001000000,219.951,45.83332,-129.75736,6.7931,*0000000000000100,6.7941,*0000000000000100,3.412882,*0000000010000100,3.412739,*0000000010000100,33.8233,33.8207,8.0439,*0000000010000100,6.83597,44.9966,*0000000000000100,-0.2572,106.6422,*0000000000000100,7.771,*0000000010000100,3.398674312296323,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.9225173180555553,31.64621489513889,26.618845824305552,0.02996342152777779,0,*0000000000000100,*0000000000000100,33.84997768344289,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2209.75,*0000000000000100,*0000000000000100,684.39,22.9,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2287.55,-9999999,-9999999,7.818,33.72,2102.7,73.32,1.633,1.057
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,3,*0000000000000100,2021-08-03T01:44:05.000Z,201.735,*0000000001000000,199.985,45.83332,-129.75734,6.9849,*0000000000000100,6.9899,*0000000000000100,3.423082,*0000000000000100,3.423231,*0000000000000100,33.7568,33.7535,8.2387,*0000000000000100,6.80887,44.9492,*0000000000000100,-0.2598,106.7084,*0000000000000100,7.795,*0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.8476736848072561,28.821709061507935,25.153144819331064,0.03137556400226757,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2224.13,*0000000000000100,*0000000000000100,642.86,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2312.92,-9999999,-9999999,7.849,31.47,2113.17,79.49,1.779,1.151
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,5,*0000000000000100,2021-08-03T01:46:23.000Z,181.803,*0000000001000000,180.234,45.83332,-129.75736,7.0090,*0000000000000100,7.0129,*0000000000000100,3.414567,*0000000010000100,3.414623,*0000000010000100,33.6496,33.6464,8.4137,*0000000010000100,6.80990,44.9502,*0000000000000100,-0.2613,106.7499,*0000000000000100,7.810,*0000000010000100,3.8027113624958186,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.7684861533163265,26.092985606249997,23.83245602385204,0.030623188647959196,0,*0000000000000100,*0000000000000100,33.924184898202,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,2223.34,*0000000000000100,*0000000000000100,630.34,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2314.77,-9999999,-9999999,7.859,30.85,2111.55,80.94,1.82,1.178
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,6,*0000000000000100,2021-08-03T01:46:41.000Z,181.786,*0000000001000000,180.217,45.83332,-129.75736,7.0103,*0000000000000100,7.0136,*0000000000000100,3.414789,*0000000000000100,3.414783,*0000000000000100,33.6507,33.6474,8.4115,*0000000010000100,6.80964,44.9580,*0000000000000100,-0.2615,106.7557,*0000000000000100,7.810,*0000000000000100,3.7502897374138464,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,7,*0000000000000100,2021-08-03T01:48:22.000Z,161.370,*0000000001000000,159.985,45.83332,-129.75735,7.2034,*0000000000000100,7.2049,*0000000000000100,3.415261,*0000000000000100,3.415200,*0000000000000100,33.4780,33.4759,8.5956,*0000000000000100,6.78727,44.9878,*0000000000000100,-0.2633,106.8033,*0000000000000100,7.829,*0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.727910728344671,23.349638079365082,22.321004066439908,0.03118486689342403,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2211.86,*0000000000000100,*0000000000000100,597.29,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2310.78,-9999999,-9999999,7.881,29.06,2097.96,84.83,1.918,1.241
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,9,*0000000000000100,2021-08-03T01:50:23.000Z,141.023,*0000000001000000,139.820,45.83332,-129.75736,7.7823,*0000000000000100,7.7760,*0000000000000100,3.432408,*0000000010000100,3.431972,*0000000010000100,33.1180,33.1193,8.8925,*0000000010000100,6.71420,45.1062,*0000000000000100,-0.2643,106.8304,*0000000000000100,7.873,*0000000010000100,4.766282970726635,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.536305689654195,17.42853294751984,19.12816270661848,0.032673872548185955,0,*0000000000000100,*0000000000000100,33.198092290396765,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2162.97,*0000000000000100,*0000000000000100,550.87,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2271.68,-9999999,-9999999,7.909,26.33,2047.28,89.36,2.034,1.318
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,11,*0000000000000100,2021-08-03T01:52:08.000Z,121.125,*0000000001000000,120.097,45.83334,-129.75738,8.1338,*0000000000000100,8.1380,*0000000000000100,3.426592,*0000000000000100,3.426857,*0000000000000100,32.7345,32.7334,9.3858,*0000000000000100,6.67775,45.4957,*0000000000000100,-0.2653,106.8572,*0000000000000100,7.934,*0000000010000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.2677802193877552,10.467054510714286,13.654008494387753,0.04621810561224489,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2106.86,*0000000000000100,*0000000000000100,453.29,22.8,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2240.8,-9999999,-9999999,7.982,21.45,1982.62,102.79,2.357,1.528
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,13,*0000000000000100,2021-08-03T01:53:50.000Z,100.837,*0000000001000000,99.987,45.83334,-129.75738,8.4223,*0000000000000100,8.4230,*0000000000000100,3.424790,*0000000010000100,3.424678,*0000000010000100,32.4574,32.4556,9.8053,*0000000010000100,6.64653,46.4340,*0000000010000100,-0.2654,106.8589,*0000000000000100,7.989,*0000000010000100,5.270679244531553,*0000000000000100,*0000000000001000,0.14573518072454641,0.06917938734265963,1.667785234899329,*0000000000000100,*0000000000000100,1.0837222294501134,6.506616902281746,9.932244063081065,0.05767389108560091,0,*0000000000000100,*0000000000000100,32.48631544099613,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2077.06,*0000000000000100,*0000000000000100,399.24,22.8,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2229.26,-9999999,-9999999,8.032,18.74,1945.06,113.26,2.614,1.695
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,13,*0000000000000100,2021-08-03T01:53:50.000Z,100.837,*0000000001000000,99.987,45.83334,-129.75738,8.4223,*0000000000000100,8.4230,*0000000000000100,3.424790,*0000000000000100,3.424678,*0000000000000100,32.4574,32.4556,9.8053,*0000000010000100,6.64653,46.4340,*0000000000000100,-0.2654,106.8589,*0000000000000100,7.989,*0000000000000100,5.80764384132656,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,15,*0000000000000100,2021-08-03T01:55:20.000Z,80.426,*0000000001000000,79.752,45.83331,-129.75736,8.9996,*0000000000000100,9.0017,*0000000000000100,3.464473,*0000000000000100,3.464462,*0000000000000100,32.3529,32.3509,9.9859,*0000000000000100,6.56586,47.9739,*0000000010000100,-0.2653,106.8572,*0000000000000100,8.032,*0000000010000100,-9999999,-9999999,-9999999,0.20505452564257784,0.12150022744745885,1.6183745583038869,*0000000000000100,*0000000000000100,0.8250639555555556,3.2876270222222215,5.391274355555555,0.4913902444444444,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2049.96,*0000000000000100,*0000000000000100,356.78,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2221.99,-9999999,-9999999,8.075,16.44,1908.45,125.07,2.9,1.882
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,17,*0000000000000100,2021-08-03T01:57:11.000Z,60.348,*0000000001000000,59.844,45.83332,-129.75738,9.9450,*0000000000000100,9.9356,*0000000000000100,3.546064,*0000000010000100,3.544985,*0000000010000100,32.3451,32.3426,10.0264,*0000000010000100,6.43087,49.1360,*0000000010000100,-0.2637,106.8135,*0000000000000100,8.069,*0000000010000100,5.7463885819084926,*0000000000000100,*0000000000000100,0.24430782055129993,0.09551682533214809,1.7079796264855687,*0000000000000100,*0000000000000100,0.6558678798469388,2.237993420535714,2.90035885752551,0.15730005497448982,0,*0000000000000100,*0000000000000100,32.34922139485177,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2054.35,*0000000000000100,*0000000000000100,335.93,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2245.77,-9999999,-9999999,8.104,14.99,1901.52,137.84,3.21,2.086
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,19,*0000000000000100,2021-08-03T01:58:57.000Z,39.859,*0000000001000000,39.529,45.83332,-129.75736,13.7952,*0000000000000100,13.7111,*0000000000000100,3.888616,*0000000000000100,3.881640,*0000000000000100,32.3267,32.3329,9.4320,*0000000000000100,5.92950,47.2908,*0000000010000100,-0.2626,106.7836,*0000000000000100,8.104,*0000000010000100,-9999999,-9999999,-9999999,0.1980240847634038,0.06160425249899285,1.751111111111111,*0000000000000100,*0000000000000100,0.4721187439909297,1.5479737972222223,0.19197861184807255,0.019024904818594094,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2012.61,*0000000000000100,*0000000000000100,341.99,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2225.49,-9999999,-9999999,8.096,13.5,1847.18,151.93,3.559,2.328
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,21,*0000000000000100,2021-08-03T02:00:41.000Z,20.099,*0000000001000000,19.933,45.83331,-129.75738,16.7519,*0000000000000100,16.7418,*0000000000000100,4.165488,*0000000010000100,4.164634,*0000000010000100,32.3774,32.3782,8.6754,*0000000000000100,5.58878,46.0089,*0000000010000100,-0.2628,106.7906,*0000000000000100,8.096,*0000000010000100,-9999999,-9999999,-9999999,0.11014357377372753,0.025440113463301807,1.7999999999999998,*0000000000000100,*0000000000000100,0.4522841991780045,0.7105069856150796,0,0.009776572548185944,0,*0000000000000100,*0000000000000100,32.42660545758389,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,2019.92,*0000000000000100,*0000000000000100,390.63,22.7,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2232.02,-9999999,-9999999,8.049,14.09,1853.09,152.74,3.598,2.366
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,22,*0000000000000100,2021-08-03T02:01:10.000Z,20.227,*0000000001000000,20.060,45.83332,-129.75738,16.7424,*0000000000000100,16.7407,*0000000000000100,4.164691,*0000000000000100,4.164563,*0000000000000100,32.3782,32.3784,8.6808,*0000000010000100,5.58980,45.9127,*0000000000000100,-0.2623,106.7761,*0000000000000100,8.101,*0000000000000100,6.050168883001225,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,23,*0000000000000100,2021-08-03T02:02:53.000Z,9.862,*0000000001000000,9.781,45.83332,-129.75736,18.2548,*0000000000000100,18.2556,*0000000000000100,4.304846,*0000000000000100,4.304899,*0000000000000100,32.3716,32.3714,8.3588,*0000000000000100,5.43018,45.7818,*0000000010000100,-0.2613,106.7496,*0000000000000100,8.107,*0000000010000100,-9999999,-9999999,-9999999,0.09022399128273427,0.015358199203973685,1.8415300546448088,*0000000000000100,*0000000000000100,0.4347680204081633,0.8362872857142863,0.0004495918367347085,0.006554608163265291,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2018.96,*0000000000000100,*0000000000000100,430.67,22.9,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2223.41,-9999999,-9999999,8.011,14.87,1855.77,148.32,3.506,2.311
TN393,Axial Base Shallow Profiler - 500 m NW,"RS03AXPS,RS03AXPD",45.833333333333336,-129.75733333333332,2021-08-03T01:25:44.000Z,CTD-001,*0000000000000100,2644,TN393_CTD-001,*0000000000000100,24,*0000000000000100,2021-08-03T02:03:11.000Z,9.849,*0000000001000000,9.768,45.83332,-129.75738,18.2570,*0000000000000100,18.2582,*0000000000000100,4.305055,*0000000000000100,4.305145,*0000000000000100,32.3717,32.3715,8.3606,*0000000010000100,5.42996,45.7370,*0000000000000100,-0.2612,106.7477,*0000000000000100,8.107,*0000000000000100,4.881676553218756,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.8305,-129.7465,2021-08-04T12:32:59.000Z,CTD-002,*0000000000000101,2644,TN393_CTD-002,*0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.830333333333336,-129.7465,2021-08-04T13:48:19.000Z,CTD-003,*0000000000000100,2644,TN393_CTD-003,*0000000000000100,1,*0000000000000100,2021-08-04T13:58:21.000Z,222.049,*0000000001000000,220.111,45.83038,-129.74650,6.7895,*0000000000000100,6.7918,*0000000000000100,3.412036,*0000000010000100,3.411890,*0000000010000100,33.8174,33.8136,8.0128,*0000000010000100,6.83680,44.8248,*0000000000000100,-0.2773,107.1793,*0000000000000100,7.787,*0000000010000100,4.048772860724582,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.9258912392290248,31.932144507936503,26.418990072562362,0.02389746077097506,0,*0000000000000100,*0000000000000100,33.812590035059365,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2233.93,*0000000000000100,*0000000000000100,667.4,23.0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2317.21,-9999999,-9999999,7.834,32.88,2124.31,76.73,1.709,1.106
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.830333333333336,-129.7465,2021-08-04T13:48:19.000Z,CTD-003,*0000000000000100,2644,TN393_CTD-003,*0000000000000100,5,*0000000000000100,2021-08-04T14:00:30.000Z,181.656,*0000000001000000,180.089,45.83038,-129.74648,7.0403,*0000000000000100,7.0425,*0000000000000100,3.417690,*0000000010000100,3.417575,*0000000010000100,33.6533,33.6499,8.3628,*0000000010000100,6.80485,44.8592,*0000000000000100,-0.2743,107.0988,*0000000000000100,7.811,*0000000010000100,3.693074215625845,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.7934377937358277,26.869341802281745,23.85957502498583,0.03227308751417232,0,*0000000000000100,*0000000000000100,33.655280526384615,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2203.44,*0000000000000100,*0000000000000100,638.88,23.1,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2291.4,-9999999,-9999999,7.849,31.23,2093.59,78.61,1.767,1.144
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.830333333333336,-129.7465,2021-08-04T13:48:19.000Z,CTD-003,*0000000000000100,2644,TN393_CTD-003,*0000000000000100,6,*0000000000000100,2021-08-04T14:00:37.000Z,181.310,*0000000001000000,179.745,45.83038,-129.74648,7.0422,*0000000000000100,7.0446,*0000000000000100,3.417672,*0000000000000100,3.417541,*0000000000000100,33.6514,33.6477,8.3645,*0000000010000100,6.80464,44.8399,*0000000000000100,-0.2743,107.0988,*0000000000000100,7.810,*0000000000000100,3.854153934970774,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.830333333333336,-129.7465,2021-08-04T13:48:19.000Z,CTD-003,*0000000000000100,2644,TN393_CTD-003,*0000000000000100,9,*0000000000000100,2021-08-04T14:02:19.000Z,141.369,*0000000001000000,140.163,45.83040,-129.74652,7.7520,*0000000000000100,7.7552,*0000000000000100,3.433127,*0000000010000100,3.433100,*0000000010000100,33.1543,33.1510,8.8655,*0000000010000100,6.71722,44.9813,*0000000000000100,-0.2732,107.0698,*0000000000000100,7.868,*0000000010000100,5.099858470610397,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.52268165,17.089480575,18.561975725,0.049078575000000006,0,*0000000000000100,*0000000000000100,33.16257395803422,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2143.63,*0000000000000100,*0000000000000100,548.86,23.1,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2250.93,-9999999,-9999999,7.907,26.26,2029.3,88.07,2.004,1.299
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.830333333333336,-129.7465,2021-08-04T13:48:19.000Z,CTD-003,*0000000000000100,2644,TN393_CTD-003,*0000000000000100,13,*0000000000000001,2021-08-04T14:04:15.000Z,100.664,*0000000001000000,99.815,45.83040,-129.74648,8.4392,*0000000000000100,8.4408,*0000000000000100,3.420629,*0000000010000100,3.420565,*0000000010000100,32.3982,32.3960,9.9227,*0000000010000100,6.64656,46.6320,*0000000010000100,-0.2709,107.0069,*0000000000000100,8.000,*0000000010000100,5.757545501828636,*0000000000000100,*0000000000000100,0.17576102197935253,0.08617512272537647,1.6607929515418505,*0000000000000100,*0000000000000100,1.0490052877834468,5.898911109424603,9.252512113081066,0.09805659941893426,0,*0000000000000100,*0000000000000100,32.44021863548132,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2065.14,*0000000000000100,*0000000000000100,395.34,23.1,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2217.36,-9999999,-9999999,8.033,18.55,1933.59,112.99,2.609,1.692
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.830333333333336,-129.7465,2021-08-04T13:48:19.000Z,CTD-003,*0000000000000100,2644,TN393_CTD-003,*0000000000000100,17,*0000000000000001,2021-08-04T14:05:59.000Z,60.717,*0000000001000000,60.210,45.83038,-129.74650,10.1806,*0000000000000100,10.1777,*0000000000000100,3.567884,*0000000010000100,3.567362,*0000000010000100,32.3549,32.3522,10.0021,*0000000010000100,6.39754,49.4767,*0000000010000100,-0.2672,106.9092,*0000000000000100,8.070,*0000000010000100,7.3476022241993455,*0000000000000100,*0000000000000100,0.2519241315037386,0.11097858880303361,1.6836248012718602,*0000000000000100,*0000000000000100,0.6320709773242631,1.9587799888888895,2.4257463963718817,0.1338022702947846,0,*0000000000000100,*0000000000000100,32.356025395172615,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2019.49,*0000000000000100,*0000000000000100,333.84,23.3,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2208.67,-9999999,-9999999,8.1,14.78,1869.22,135.49,3.155,2.051
TN393,Axial Base Shallow Profiler - 500 m E,"RS03AXPS,RS03AXPD",45.830333333333336,-129.7465,2021-08-04T13:48:19.000Z,CTD-003,*0000000000000100,2644,TN393_CTD-003,*0000000000000100,19,*0000000000000100,2021-08-04T14:07:41.000Z,40.263,*0000000001000000,39.929,45.83040,-129.74650,13.5653,*0000000000000100,13.5537,*0000000000000100,3.867348,*0000000000000100,3.866086,*0000000000000100,32.3231,32.3212,9.5280,*0000000000000100,5.95754,49.7474,*0000000010000100,-0.2620,106.7681,*0000000000000100,8.116,*0000000010000100,-9999999,-9999999,-9999999,0.2361056395255968,0.07256360588636362,1.753271028037383,*0000000000000100,*0000000000000100,0.4587877079081632,1.5609792633928565,0.15584254630102037,0.020987391198979608,0,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1996.83,*0000000000000100,*0000000000000100,328.39,23.3,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2213.35,-9999999,-9999999,8.109,13.05,1830.05,153.74,3.601,2.355
