,0,1,2,3,4,5,6,7,8,9,10,11
0,45,2021-01-01 00:45:00,109,2021-01-01 01:49:00,109,2021-01-01 01:49:00,141,2021-01-01 02:21:00,141,2021-01-01 02:21:00,180,2021-01-01 03:00:00
1,180,2021-01-01 03:00:00,244,2021-01-01 04:04:00,244,2021-01-01 04:04:00,277,2021-01-01 04:37:00,277,2021-01-01 04:37:00,310,2021-01-01 05:10:00
2,310,2021-01-01 05:10:00,374,2021-01-01 06:14:00,374,2021-01-01 06:14:00,408,2021-01-01 06:48:00,408,2021-01-01 06:48:00,460,2021-01-01 07:40:00
3,460,2021-01-01 07:40:00,526,2021-01-01 08:46:00,526,2021-01-01 08:46:00,620,2021-01-01 10:20:00,620,2021-01-01 10:20:00,690,2021-01-01 11:30:00
4,690,2021-01-01 11:30:00,751,2021-01-01 12:31:00,751,2021-01-01 12:31:00,783,2021-01-01 13:03:00,783,2021-01-01 13:03:00,830,2021-01-01 13:50:00
5,830,2021-01-01 13:50:00,890,2021-01-01 14:50:00,890,2021-01-01 14:50:00,922,2021-01-01 15:22:00,922,2021-01-01 15:22:00,965,2021-01-01 16:05:00
6,965,2021-01-01 16:05:00,1021,2021-01-01 17:01:00,1021,2021-01-01 17:01:00,1050,2021-01-01 17:30:00,1050,2021-01-01 17:30:00,1110,2021-01-01 18:30:00
7,1110,2021-01-01 18:30:00,1165,2021-01-01 19:25:00,1165,2021-01-01 19:25:00,1193,2021-01-01 19:53:00,1193,2021-01-01 19:53:00,1260,2021-01-01 21:00:00
8,1260,2021-01-01 21:00:00,1316,2021-01-01 21:56:00,1316,2021-01-01 21:56:00,1390,2021-01-01 23:10:00,1390,2021-01-01 23:10:00,1485,2021-01-02 00:45:00
9,1485,2021-01-02 00:45:00,1538,2021-01-02 01:38:00,1538,2021-01-02 01:38:00,1566,2021-01-02 02:06:00,1566,2021-01-02 02:06:00,1620,2021-01-02 03:00:00
10,1620,2021-01-02 03:00:00,1671,2021-01-02 03:51:00,1671,2021-01-02 03:51:00,1697,2021-01-02 04:17:00,1697,2021-01-02 04:17:00,1750,2021-01-02 05:10:00
11,1750,2021-01-02 05:10:00,1799,2021-01-02 05:59:00,1799,2021-01-02 05:59:00,1825,2021-01-02 06:25:00,1825,2021-01-02 06:25:00,1900,2021-01-02 07:40:00
12,1900,2021-01-02 07:40:00,1952,2021-01-02 08:32:00,1952,2021-01-02 08:32:00,2019,2021-01-02 09:39:00,2019,2021-01-02 09:39:00,2130,2021-01-02 11:30:00
13,2130,2021-01-02 11:30:00,2185,2021-01-02 12:25:00,2185,2021-01-02 12:25:00,2213,2021-01-02 12:53:00,2213,2021-01-02 12:53:00,2270,2021-01-02 13:50:00
14,2270,2021-01-02 13:50:00,2327,2021-01-02 14:47:00,2327,2021-01-02 14:47:00,2357,2021-01-02 15:17:00,2357,2021-01-02 15:17:00,2405,2021-01-02 16:05:00
15,2405,2021-01-02 16:05:00,2465,2021-01-02 17:05:00,2465,2021-01-02 17:05:00,2496,2021-01-02 17:36:00,2496,2021-01-02 17:36:00,2550,2021-01-02 18:30:00
16,2550,2021-01-02 18:30:00,2611,2021-01-02 19:31:00,2611,2021-01-02 19:31:00,2643,2021-01-02 20:03:00,2643,2021-01-02 20:03:00,2700,2021-01-02 21:00:00
17,2700,2021-01-02 21:00:00,2762,2021-01-02 22:02:00,2762,2021-01-02 22:02:00,2849,2021-01-02 23:29:00,2849,2021-01-02 23:29:00,2925,2021-01-03 00:45:00
18,2925,2021-01-03 00:45:00,2986,2021-01-03 01:46:00,2986,2021-01-03 01:46:00,3017,2021-01-03 02:17:00,3017,2021-01-03 02:17:00,3060,2021-01-03 03:00:00
19,3060,2021-01-03 03:00:00,3121,2021-01-03 04:01:00,3121,2021-01-03 04:01:00,3153,2021-01-03 04:33:00,3153,2021-01-03 04:33:00,3190,2021-01-03 05:10:00
20,3190,2021-01-03 05:10:00,3252,2021-01-03 06:12:00,3252,2021-01-03 06:12:00,3284,2021-01-03 06:44:00,3284,2021-01-03 06:44:00,3340,2021-01-03 07:40:00
21,3340,2021-01-03 07:40:00,3396,2021-01-03 08:36:00,3396,2021-01-03 08:36:00,3471,2021-01-03 09:51:00,3471,2021-01-03 09:51:00,3570,2021-01-03 11:30:00
