,0,1,2,3,4,5,6,7,8,9,10,11
0,284679,2018-07-17 16:39:00,284716,2018-07-17 17:16:00,284716,2018-07-17 17:16:00,284751,2018-07-17 17:51:00,284751,2018-07-17 17:51:00,284752,2018-07-17 17:52:00
1,284752,2018-07-17 17:52:00,284787,2018-07-17 18:27:00,284787,2018-07-17 18:27:00,284824,2018-07-17 19:04:00,284824,2018-07-17 19:04:00,284825,2018-07-17 19:05:00
2,284825,2018-07-17 19:05:00,284830,2018-07-17 19:10:00,284830,2018-07-17 19:10:00,284835,2018-07-17 19:15:00,284835,2018-07-17 19:15:00,284921,2018-07-17 20:41:00
3,286001,2018-07-18 14:41:00,286034,2018-07-18 15:14:00,286034,2018-07-18 15:14:00,286067,2018-07-18 15:47:00,286067,2018-07-18 15:47:00,286132,2018-07-18 16:52:00
4,286132,2018-07-18 16:52:00,286154,2018-07-18 17:14:00,286154,2018-07-18 17:14:00,286175,2018-07-18 17:35:00,286175,2018-07-18 17:35:00,286211,2018-07-18 18:11:00
5,286211,2018-07-18 18:11:00,286281,2018-07-18 19:21:00,286281,2018-07-18 19:21:00,286317,2018-07-18 19:57:00,286317,2018-07-18 19:57:00,286361,2018-07-18 20:41:00
6,286361,2018-07-18 20:41:00,286430,2018-07-18 21:50:00,286430,2018-07-18 21:50:00,286532,2018-07-18 23:32:00,286532,2018-07-18 23:32:00,286586,2018-07-19 00:26:00
7,286586,2018-07-19 00:26:00,286656,2018-07-19 01:36:00,286656,2018-07-19 01:36:00,286692,2018-07-19 02:12:00,286692,2018-07-19 02:12:00,286721,2018-07-19 02:41:00
8,286721,2018-07-19 02:41:00,286791,2018-07-19 03:51:00,286791,2018-07-19 03:51:00,286827,2018-07-19 04:27:00,286827,2018-07-19 04:27:00,286851,2018-07-19 04:51:00
9,286851,2018-07-19 04:51:00,286921,2018-07-19 06:01:00,286921,2018-07-19 06:01:00,286957,2018-07-19 06:37:00,286957,2018-07-19 06:37:00,287001,2018-07-19 07:21:00
10,287001,2018-07-19 07:21:00,287071,2018-07-19 08:31:00,287071,2018-07-19 08:31:00,287173,2018-07-19 10:13:00,287173,2018-07-19 10:13:00,287231,2018-07-19 11:11:00
11,287231,2018-07-19 11:11:00,287301,2018-07-19 12:21:00,287301,2018-07-19 12:21:00,287337,2018-07-19 12:57:00,287337,2018-07-19 12:57:00,287371,2018-07-19 13:31:00
12,287371,2018-07-19 13:31:00,287441,2018-07-19 14:41:00,287441,2018-07-19 14:41:00,287478,2018-07-19 15:18:00,287478,2018-07-19 15:18:00,287506,2018-07-19 15:46:00
13,287506,2018-07-19 15:46:00,287576,2018-07-19 16:56:00,287576,2018-07-19 16:56:00,287612,2018-07-19 17:32:00,287612,2018-07-19 17:32:00,287651,2018-07-19 18:11:00
14,287651,2018-07-19 18:11:00,287721,2018-07-19 19:21:00,287721,2018-07-19 19:21:00,287757,2018-07-19 19:57:00,287757,2018-07-19 19:57:00,287801,2018-07-19 20:41:00
15,287801,2018-07-19 20:41:00,287871,2018-07-19 21:51:00,287871,2018-07-19 21:51:00,287973,2018-07-19 23:33:00,287973,2018-07-19 23:33:00,288026,2018-07-20 00:26:00
16,288026,2018-07-20 00:26:00,288096,2018-07-20 01:36:00,288096,2018-07-20 01:36:00,288133,2018-07-20 02:13:00,288133,2018-07-20 02:13:00,288161,2018-07-20 02:41:00
17,288161,2018-07-20 02:41:00,288231,2018-07-20 03:51:00,288231,2018-07-20 03:51:00,288268,2018-07-20 04:28:00,288268,2018-07-20 04:28:00,288291,2018-07-20 04:51:00
18,288291,2018-07-20 04:51:00,288361,2018-07-20 06:01:00,288361,2018-07-20 06:01:00,288397,2018-07-20 06:37:00,288397,2018-07-20 06:37:00,288441,2018-07-20 07:21:00
19,288441,2018-07-20 07:21:00,288511,2018-07-20 08:31:00,288511,2018-07-20 08:31:00,288612,2018-07-20 10:12:00,288612,2018-07-20 10:12:00,288671,2018-07-20 11:11:00
20,288671,2018-07-20 11:11:00,288741,2018-07-20 12:21:00,288741,2018-07-20 12:21:00,288777,2018-07-20 12:57:00,288777,2018-07-20 12:57:00,288811,2018-07-20 13:31:00
21,288811,2018-07-20 13:31:00,288881,2018-07-20 14:41:00,288881,2018-07-20 14:41:00,288917,2018-07-20 15:17:00,288917,2018-07-20 15:17:00,288946,2018-07-20 15:46:00
22,288946,2018-07-20 15:46:00,289016,2018-07-20 16:56:00,289016,2018-07-20 16:56:00,289052,2018-07-20 17:32:00,289052,2018-07-20 17:32:00,289091,2018-07-20 18:11:00
23,289091,2018-07-20 18:11:00,289161,2018-07-20 19:21:00,289161,2018-07-20 19:21:00,289197,2018-07-20 19:57:00,289197,2018-07-20 19:57:00,289241,2018-07-20 20:41:00
24,289241,2018-07-20 20:41:00,289310,2018-07-20 21:50:00,289310,2018-07-20 21:50:00,289403,2018-07-20 23:23:00,289403,2018-07-20 23:23:00,289466,2018-07-21 00:26:00
25,289466,2018-07-21 00:26:00,289536,2018-07-21 01:36:00,289536,2018-07-21 01:36:00,289572,2018-07-21 02:12:00,289572,2018-07-21 02:12:00,289601,2018-07-21 02:41:00
26,289601,2018-07-21 02:41:00,289671,2018-07-21 03:51:00,289671,2018-07-21 03:51:00,289708,2018-07-21 04:28:00,289708,2018-07-21 04:28:00,289731,2018-07-21 04:51:00
27,289731,2018-07-21 04:51:00,289801,2018-07-21 06:01:00,289801,2018-07-21 06:01:00,289837,2018-07-21 06:37:00,289837,2018-07-21 06:37:00,289881,2018-07-21 07:21:00
28,289881,2018-07-21 07:21:00,289951,2018-07-21 08:31:00,289951,2018-07-21 08:31:00,290052,2018-07-21 10:12:00,290052,2018-07-21 10:12:00,290111,2018-07-21 11:11:00
29,290111,2018-07-21 11:11:00,290181,2018-07-21 12:21:00,290181,2018-07-21 12:21:00,290217,2018-07-21 12:57:00,290217,2018-07-21 12:57:00,290251,2018-07-21 13:31:00
30,290251,2018-07-21 13:31:00,290320,2018-07-21 14:40:00,290320,2018-07-21 14:40:00,290355,2018-07-21 15:15:00,290355,2018-07-21 15:15:00,290386,2018-07-21 15:46:00
31,290386,2018-07-21 15:46:00,290456,2018-07-21 16:56:00,290456,2018-07-21 16:56:00,290492,2018-07-21 17:32:00,290492,2018-07-21 17:32:00,290531,2018-07-21 18:11:00
32,290531,2018-07-21 18:11:00,290600,2018-07-21 19:20:00,290600,2018-07-21 19:20:00,290636,2018-07-21 19:56:00,290636,2018-07-21 19:56:00,290681,2018-07-21 20:41:00
33,290681,2018-07-21 20:41:00,290750,2018-07-21 21:50:00,290750,2018-07-21 21:50:00,290843,2018-07-21 23:23:00,290843,2018-07-21 23:23:00,290906,2018-07-22 00:26:00
