,0,1,2,3,4,5,6,7,8,9,10,11
0,27,2017-01-01 00:27:00,91,2017-01-01 01:31:00,91,2017-01-01 01:31:00,125,2017-01-01 02:05:00,125,2017-01-01 02:05:00,162,2017-01-01 02:42:00
1,162,2017-01-01 02:42:00,226,2017-01-01 03:46:00,226,2017-01-01 03:46:00,260,2017-01-01 04:20:00,260,2017-01-01 04:20:00,292,2017-01-01 04:52:00
2,292,2017-01-01 04:52:00,356,2017-01-01 05:56:00,356,2017-01-01 05:56:00,388,2017-01-01 06:28:00,388,2017-01-01 06:28:00,442,2017-01-01 07:22:00
3,442,2017-01-01 07:22:00,506,2017-01-01 08:26:00,506,2017-01-01 08:26:00,595,2017-01-01 09:55:00,595,2017-01-01 09:55:00,672,2017-01-01 11:12:00
4,672,2017-01-01 11:12:00,736,2017-01-01 12:16:00,736,2017-01-01 12:16:00,770,2017-01-01 12:50:00,770,2017-01-01 12:50:00,812,2017-01-01 13:32:00
5,812,2017-01-01 13:32:00,876,2017-01-01 14:36:00,876,2017-01-01 14:36:00,910,2017-01-01 15:10:00,910,2017-01-01 15:10:00,947,2017-01-01 15:47:00
6,947,2017-01-01 15:47:00,1011,2017-01-01 16:51:00,1011,2017-01-01 16:51:00,1044,2017-01-01 17:24:00,1044,2017-01-01 17:24:00,1092,2017-01-01 18:12:00
7,1092,2017-01-01 18:12:00,1154,2017-01-01 19:14:00,1154,2017-01-01 19:14:00,1186,2017-01-01 19:46:00,1186,2017-01-01 19:46:00,1242,2017-01-01 20:42:00
8,1242,2017-01-01 20:42:00,1304,2017-01-01 21:44:00,1304,2017-01-01 21:44:00,1391,2017-01-01 23:11:00,1391,2017-01-01 23:11:00,1467,2017-01-02 00:27:00
9,1467,2017-01-02 00:27:00,1530,2017-01-02 01:30:00,1530,2017-01-02 01:30:00,1562,2017-01-02 02:02:00,1562,2017-01-02 02:02:00,1602,2017-01-02 02:42:00
10,1602,2017-01-02 02:42:00,1665,2017-01-02 03:45:00,1665,2017-01-02 03:45:00,1697,2017-01-02 04:17:00,1697,2017-01-02 04:17:00,1732,2017-01-02 04:52:00
11,1732,2017-01-02 04:52:00,1796,2017-01-02 05:56:00,1796,2017-01-02 05:56:00,1830,2017-01-02 06:30:00,1830,2017-01-02 06:30:00,1882,2017-01-02 07:22:00
12,1882,2017-01-02 07:22:00,1946,2017-01-02 08:26:00,1946,2017-01-02 08:26:00,2035,2017-01-02 09:55:00,2035,2017-01-02 09:55:00,2112,2017-01-02 11:12:00
13,2112,2017-01-02 11:12:00,2176,2017-01-02 12:16:00,2176,2017-01-02 12:16:00,2210,2017-01-02 12:50:00,2210,2017-01-02 12:50:00,2252,2017-01-02 13:32:00
14,2252,2017-01-02 13:32:00,2316,2017-01-02 14:36:00,2316,2017-01-02 14:36:00,2350,2017-01-02 15:10:00,2350,2017-01-02 15:10:00,2387,2017-01-02 15:47:00
15,2387,2017-01-02 15:47:00,2451,2017-01-02 16:51:00,2451,2017-01-02 16:51:00,2485,2017-01-02 17:25:00,2485,2017-01-02 17:25:00,2532,2017-01-02 18:12:00
16,2532,2017-01-02 18:12:00,2596,2017-01-02 19:16:00,2596,2017-01-02 19:16:00,2630,2017-01-02 19:50:00,2630,2017-01-02 19:50:00,2682,2017-01-02 20:42:00
17,2682,2017-01-02 20:42:00,2746,2017-01-02 21:46:00,2746,2017-01-02 21:46:00,2835,2017-01-02 23:15:00,2835,2017-01-02 23:15:00,2907,2017-01-03 00:27:00
18,2907,2017-01-03 00:27:00,2971,2017-01-03 01:31:00,2971,2017-01-03 01:31:00,3005,2017-01-03 02:05:00,3005,2017-01-03 02:05:00,3042,2017-01-03 02:42:00
19,3042,2017-01-03 02:42:00,3106,2017-01-03 03:46:00,3106,2017-01-03 03:46:00,3140,2017-01-03 04:20:00,3140,2017-01-03 04:20:00,3172,2017-01-03 04:52:00
