,0,1,2,3,4,5,6,7,8,9,10,11
0,243216,2019-06-18 21:36:00,243243,2019-06-18 22:03:00,243243,2019-06-18 22:03:00,243297,2019-06-18 22:57:00,243297,2019-06-18 22:57:00,243301,2019-06-18 23:01:00
1,244497,2019-06-19 18:57:00,244525,2019-06-19 19:25:00,244525,2019-06-19 19:25:00,244553,2019-06-19 19:53:00,244553,2019-06-19 19:53:00,244576,2019-06-19 20:16:00
2,244576,2019-06-19 20:16:00,244603,2019-06-19 20:43:00,244603,2019-06-19 20:43:00,244631,2019-06-19 21:11:00,244631,2019-06-19 21:11:00,244666,2019-06-19 21:46:00
3,244666,2019-06-19 21:46:00,244697,2019-06-19 22:17:00,244697,2019-06-19 22:17:00,244728,2019-06-19 22:48:00,244728,2019-06-19 22:48:00,244730,2019-06-19 22:50:00
4,244730,2019-06-19 22:50:00,244761,2019-06-19 23:21:00,244761,2019-06-19 23:21:00,244792,2019-06-19 23:52:00,244792,2019-06-19 23:52:00,244805,2019-06-20 00:05:00
5,249165,2019-06-23 00:45:00,249230,2019-06-23 01:50:00,249230,2019-06-23 01:50:00,249263,2019-06-23 02:23:00,249263,2019-06-23 02:23:00,249300,2019-06-23 03:00:00
6,249300,2019-06-23 03:00:00,249365,2019-06-23 04:05:00,249365,2019-06-23 04:05:00,249398,2019-06-23 04:38:00,249398,2019-06-23 04:38:00,249430,2019-06-23 05:10:00
7,249430,2019-06-23 05:10:00,249495,2019-06-23 06:15:00,249495,2019-06-23 06:15:00,249528,2019-06-23 06:48:00,249528,2019-06-23 06:48:00,249580,2019-06-23 07:40:00
8,249580,2019-06-23 07:40:00,249645,2019-06-23 08:45:00,249645,2019-06-23 08:45:00,249734,2019-06-23 10:14:00,249734,2019-06-23 10:14:00,249810,2019-06-23 11:30:00
9,249810,2019-06-23 11:30:00,249875,2019-06-23 12:35:00,249875,2019-06-23 12:35:00,249909,2019-06-23 13:09:00,249909,2019-06-23 13:09:00,249950,2019-06-23 13:50:00
10,249950,2019-06-23 13:50:00,250015,2019-06-23 14:55:00,250015,2019-06-23 14:55:00,250049,2019-06-23 15:29:00,250049,2019-06-23 15:29:00,250085,2019-06-23 16:05:00
11,250085,2019-06-23 16:05:00,250150,2019-06-23 17:10:00,250150,2019-06-23 17:10:00,250183,2019-06-23 17:43:00,250183,2019-06-23 17:43:00,250230,2019-06-23 18:30:00
12,250230,2019-06-23 18:30:00,250295,2019-06-23 19:35:00,250295,2019-06-23 19:35:00,250328,2019-06-23 20:08:00,250328,2019-06-23 20:08:00,250380,2019-06-23 21:00:00
13,250380,2019-06-23 21:00:00,250445,2019-06-23 22:05:00,250445,2019-06-23 22:05:00,250531,2019-06-23 23:31:00,250531,2019-06-23 23:31:00,250605,2019-06-24 00:45:00
14,250605,2019-06-24 00:45:00,250670,2019-06-24 01:50:00,250670,2019-06-24 01:50:00,250704,2019-06-24 02:24:00,250704,2019-06-24 02:24:00,250740,2019-06-24 03:00:00
15,250740,2019-06-24 03:00:00,250806,2019-06-24 04:06:00,250806,2019-06-24 04:06:00,250840,2019-06-24 04:40:00,250840,2019-06-24 04:40:00,250870,2019-06-24 05:10:00
16,250870,2019-06-24 05:10:00,250936,2019-06-24 06:16:00,250936,2019-06-24 06:16:00,250970,2019-06-24 06:50:00,250970,2019-06-24 06:50:00,251020,2019-06-24 07:40:00
17,251020,2019-06-24 07:40:00,251086,2019-06-24 08:46:00,251086,2019-06-24 08:46:00,251181,2019-06-24 10:21:00,251181,2019-06-24 10:21:00,251250,2019-06-24 11:30:00
18,251250,2019-06-24 11:30:00,251316,2019-06-24 12:36:00,251316,2019-06-24 12:36:00,251350,2019-06-24 13:10:00,251350,2019-06-24 13:10:00,251390,2019-06-24 13:50:00
19,251390,2019-06-24 13:50:00,251456,2019-06-24 14:56:00,251456,2019-06-24 14:56:00,251490,2019-06-24 15:30:00,251490,2019-06-24 15:30:00,251525,2019-06-24 16:05:00
20,251525,2019-06-24 16:05:00,251591,2019-06-24 17:11:00,251591,2019-06-24 17:11:00,251625,2019-06-24 17:45:00,251625,2019-06-24 17:45:00,251670,2019-06-24 18:30:00
21,251670,2019-06-24 18:30:00,251735,2019-06-24 19:35:00,251735,2019-06-24 19:35:00,251769,2019-06-24 20:09:00,251769,2019-06-24 20:09:00,251820,2019-06-24 21:00:00
22,251820,2019-06-24 21:00:00,251887,2019-06-24 22:07:00,251887,2019-06-24 22:07:00,251982,2019-06-24 23:42:00,251982,2019-06-24 23:42:00,252045,2019-06-25 00:45:00
23,252045,2019-06-25 00:45:00,252112,2019-06-25 01:52:00,252112,2019-06-25 01:52:00,252146,2019-06-25 02:26:00,252146,2019-06-25 02:26:00,252180,2019-06-25 03:00:00
24,252180,2019-06-25 03:00:00,252246,2019-06-25 04:06:00,252246,2019-06-25 04:06:00,252280,2019-06-25 04:40:00,252280,2019-06-25 04:40:00,252310,2019-06-25 05:10:00
25,252310,2019-06-25 05:10:00,252376,2019-06-25 06:16:00,252376,2019-06-25 06:16:00,252410,2019-06-25 06:50:00,252410,2019-06-25 06:50:00,252460,2019-06-25 07:40:00
26,252460,2019-06-25 07:40:00,252527,2019-06-25 08:47:00,252527,2019-06-25 08:47:00,252622,2019-06-25 10:22:00,252622,2019-06-25 10:22:00,252690,2019-06-25 11:30:00
27,252690,2019-06-25 11:30:00,252757,2019-06-25 12:37:00,252757,2019-06-25 12:37:00,252791,2019-06-25 13:11:00,252791,2019-06-25 13:11:00,252830,2019-06-25 13:50:00
28,252830,2019-06-25 13:50:00,252897,2019-06-25 14:57:00,252897,2019-06-25 14:57:00,252931,2019-06-25 15:31:00,252931,2019-06-25 15:31:00,252965,2019-06-25 16:05:00
29,252965,2019-06-25 16:05:00,253031,2019-06-25 17:11:00,253031,2019-06-25 17:11:00,253065,2019-06-25 17:45:00,253065,2019-06-25 17:45:00,253110,2019-06-25 18:30:00
30,253110,2019-06-25 18:30:00,253176,2019-06-25 19:36:00,253176,2019-06-25 19:36:00,253210,2019-06-25 20:10:00,253210,2019-06-25 20:10:00,253260,2019-06-25 21:00:00
31,253260,2019-06-25 21:00:00,253326,2019-06-25 22:06:00,253326,2019-06-25 22:06:00,253420,2019-06-25 23:40:00,253420,2019-06-25 23:40:00,253485,2019-06-26 00:45:00
32,253485,2019-06-26 00:45:00,253552,2019-06-26 01:52:00,253552,2019-06-26 01:52:00,253586,2019-06-26 02:26:00,253586,2019-06-26 02:26:00,253620,2019-06-26 03:00:00
33,253620,2019-06-26 03:00:00,253686,2019-06-26 04:06:00,253686,2019-06-26 04:06:00,253721,2019-06-26 04:41:00,253721,2019-06-26 04:41:00,253750,2019-06-26 05:10:00
34,253750,2019-06-26 05:10:00,253816,2019-06-26 06:16:00,253816,2019-06-26 06:16:00,253851,2019-06-26 06:51:00,253851,2019-06-26 06:51:00,253900,2019-06-26 07:40:00
35,253900,2019-06-26 07:40:00,253966,2019-06-26 08:46:00,253966,2019-06-26 08:46:00,254060,2019-06-26 10:20:00,254060,2019-06-26 10:20:00,254130,2019-06-26 11:30:00
36,254130,2019-06-26 11:30:00,254197,2019-06-26 12:37:00,254197,2019-06-26 12:37:00,254231,2019-06-26 13:11:00,254231,2019-06-26 13:11:00,254270,2019-06-26 13:50:00
37,254270,2019-06-26 13:50:00,254336,2019-06-26 14:56:00,254336,2019-06-26 14:56:00,254370,2019-06-26 15:30:00,254370,2019-06-26 15:30:00,254405,2019-06-26 16:05:00
38,254405,2019-06-26 16:05:00,254471,2019-06-26 17:11:00,254471,2019-06-26 17:11:00,254505,2019-06-26 17:45:00,254505,2019-06-26 17:45:00,254550,2019-06-26 18:30:00
39,254550,2019-06-26 18:30:00,254617,2019-06-26 19:37:00,254617,2019-06-26 19:37:00,254651,2019-06-26 20:11:00,254651,2019-06-26 20:11:00,254700,2019-06-26 21:00:00
40,254700,2019-06-26 21:00:00,254766,2019-06-26 22:06:00,254766,2019-06-26 22:06:00,254861,2019-06-26 23:41:00,254861,2019-06-26 23:41:00,254925,2019-06-27 00:45:00
41,254925,2019-06-27 00:45:00,254993,2019-06-27 01:53:00,254993,2019-06-27 01:53:00,255028,2019-06-27 02:28:00,255028,2019-06-27 02:28:00,255060,2019-06-27 03:00:00
42,255060,2019-06-27 03:00:00,255126,2019-06-27 04:06:00,255126,2019-06-27 04:06:00,255160,2019-06-27 04:40:00,255160,2019-06-27 04:40:00,255190,2019-06-27 05:10:00
43,255190,2019-06-27 05:10:00,255256,2019-06-27 06:16:00,255256,2019-06-27 06:16:00,255290,2019-06-27 06:50:00,255290,2019-06-27 06:50:00,255340,2019-06-27 07:40:00
44,255340,2019-06-27 07:40:00,255406,2019-06-27 08:46:00,255406,2019-06-27 08:46:00,255500,2019-06-27 10:20:00,255500,2019-06-27 10:20:00,255570,2019-06-27 11:30:00
45,255570,2019-06-27 11:30:00,255637,2019-06-27 12:37:00,255637,2019-06-27 12:37:00,255672,2019-06-27 13:12:00,255672,2019-06-27 13:12:00,255710,2019-06-27 13:50:00
46,255710,2019-06-27 13:50:00,255776,2019-06-27 14:56:00,255776,2019-06-27 14:56:00,255810,2019-06-27 15:30:00,255810,2019-06-27 15:30:00,255845,2019-06-27 16:05:00
47,255845,2019-06-27 16:05:00,255911,2019-06-27 17:11:00,255911,2019-06-27 17:11:00,255946,2019-06-27 17:46:00,255946,2019-06-27 17:46:00,255990,2019-06-27 18:30:00
48,255990,2019-06-27 18:30:00,256056,2019-06-27 19:36:00,256056,2019-06-27 19:36:00,256090,2019-06-27 20:10:00,256090,2019-06-27 20:10:00,256140,2019-06-27 21:00:00
49,256140,2019-06-27 21:00:00,256206,2019-06-27 22:06:00,256206,2019-06-27 22:06:00,256300,2019-06-27 23:40:00,256300,2019-06-27 23:40:00,256365,2019-06-28 00:45:00
50,256365,2019-06-28 00:45:00,256433,2019-06-28 01:53:00,256433,2019-06-28 01:53:00,256467,2019-06-28 02:27:00,256467,2019-06-28 02:27:00,256500,2019-06-28 03:00:00
51,256500,2019-06-28 03:00:00,256566,2019-06-28 04:06:00,256566,2019-06-28 04:06:00,256601,2019-06-28 04:41:00,256601,2019-06-28 04:41:00,256630,2019-06-28 05:10:00
52,256630,2019-06-28 05:10:00,256696,2019-06-28 06:16:00,256696,2019-06-28 06:16:00,256730,2019-06-28 06:50:00,256730,2019-06-28 06:50:00,256780,2019-06-28 07:40:00
53,256780,2019-06-28 07:40:00,256846,2019-06-28 08:46:00,256846,2019-06-28 08:46:00,256941,2019-06-28 10:21:00,256941,2019-06-28 10:21:00,257010,2019-06-28 11:30:00
54,257010,2019-06-28 11:30:00,257077,2019-06-28 12:37:00,257077,2019-06-28 12:37:00,257112,2019-06-28 13:12:00,257112,2019-06-28 13:12:00,257150,2019-06-28 13:50:00
55,257150,2019-06-28 13:50:00,257216,2019-06-28 14:56:00,257216,2019-06-28 14:56:00,257251,2019-06-28 15:31:00,257251,2019-06-28 15:31:00,257285,2019-06-28 16:05:00
56,257285,2019-06-28 16:05:00,257351,2019-06-28 17:11:00,257351,2019-06-28 17:11:00,257385,2019-06-28 17:45:00,257385,2019-06-28 17:45:00,257430,2019-06-28 18:30:00
57,257430,2019-06-28 18:30:00,257496,2019-06-28 19:36:00,257496,2019-06-28 19:36:00,257530,2019-06-28 20:10:00,257530,2019-06-28 20:10:00,257580,2019-06-28 21:00:00
58,257580,2019-06-28 21:00:00,257646,2019-06-28 22:06:00,257646,2019-06-28 22:06:00,257740,2019-06-28 23:40:00,257740,2019-06-28 23:40:00,257805,2019-06-29 00:45:00
59,257805,2019-06-29 00:45:00,257872,2019-06-29 01:52:00,257872,2019-06-29 01:52:00,257907,2019-06-29 02:27:00,257907,2019-06-29 02:27:00,257940,2019-06-29 03:00:00
60,257940,2019-06-29 03:00:00,258006,2019-06-29 04:06:00,258006,2019-06-29 04:06:00,258040,2019-06-29 04:40:00,258040,2019-06-29 04:40:00,258070,2019-06-29 05:10:00
61,258070,2019-06-29 05:10:00,258136,2019-06-29 06:16:00,258136,2019-06-29 06:16:00,258170,2019-06-29 06:50:00,258170,2019-06-29 06:50:00,258220,2019-06-29 07:40:00
62,258220,2019-06-29 07:40:00,258286,2019-06-29 08:46:00,258286,2019-06-29 08:46:00,258381,2019-06-29 10:21:00,258381,2019-06-29 10:21:00,258450,2019-06-29 11:30:00
63,258450,2019-06-29 11:30:00,258517,2019-06-29 12:37:00,258517,2019-06-29 12:37:00,258552,2019-06-29 13:12:00,258552,2019-06-29 13:12:00,258590,2019-06-29 13:50:00
64,258590,2019-06-29 13:50:00,258656,2019-06-29 14:56:00,258656,2019-06-29 14:56:00,258690,2019-06-29 15:30:00,258690,2019-06-29 15:30:00,258725,2019-06-29 16:05:00
65,258725,2019-06-29 16:05:00,258791,2019-06-29 17:11:00,258791,2019-06-29 17:11:00,258825,2019-06-29 17:45:00,258825,2019-06-29 17:45:00,258870,2019-06-29 18:30:00
66,258870,2019-06-29 18:30:00,258936,2019-06-29 19:36:00,258936,2019-06-29 19:36:00,258970,2019-06-29 20:10:00,258970,2019-06-29 20:10:00,259020,2019-06-29 21:00:00
67,259020,2019-06-29 21:00:00,259086,2019-06-29 22:06:00,259086,2019-06-29 22:06:00,259181,2019-06-29 23:41:00,259181,2019-06-29 23:41:00,259245,2019-06-30 00:45:00
68,259245,2019-06-30 00:45:00,259313,2019-06-30 01:53:00,259313,2019-06-30 01:53:00,259347,2019-06-30 02:27:00,259347,2019-06-30 02:27:00,259380,2019-06-30 03:00:00
69,259380,2019-06-30 03:00:00,259446,2019-06-30 04:06:00,259446,2019-06-30 04:06:00,259480,2019-06-30 04:40:00,259480,2019-06-30 04:40:00,259510,2019-06-30 05:10:00
70,259510,2019-06-30 05:10:00,259577,2019-06-30 06:17:00,259577,2019-06-30 06:17:00,259611,2019-06-30 06:51:00,259611,2019-06-30 06:51:00,259660,2019-06-30 07:40:00
71,259660,2019-06-30 07:40:00,259726,2019-06-30 08:46:00,259726,2019-06-30 08:46:00,259821,2019-06-30 10:21:00,259821,2019-06-30 10:21:00,259890,2019-06-30 11:30:00
72,259890,2019-06-30 11:30:00,259957,2019-06-30 12:37:00,259957,2019-06-30 12:37:00,259991,2019-06-30 13:11:00,259991,2019-06-30 13:11:00,260030,2019-06-30 13:50:00
73,260030,2019-06-30 13:50:00,260096,2019-06-30 14:56:00,260096,2019-06-30 14:56:00,260130,2019-06-30 15:30:00,260130,2019-06-30 15:30:00,260165,2019-06-30 16:05:00
