,0,1,2,3,4,5,6,7,8,9,10,11
0,309129,2015-08-03 16:09:00,309168,2015-08-03 16:48:00,309168,2015-08-03 16:48:00,309193,2015-08-03 17:13:00,309193,2015-08-03 17:13:00,309205,2015-08-03 17:25:00
1,309205,2015-08-03 17:25:00,309236,2015-08-03 17:56:00,309236,2015-08-03 17:56:00,309270,2015-08-03 18:30:00,309270,2015-08-03 18:30:00,309334,2015-08-03 19:34:00
2,310559,2015-08-04 15:59:00,310590,2015-08-04 16:30:00,310590,2015-08-04 16:30:00,310609,2015-08-04 16:49:00,310609,2015-08-04 16:49:00,310634,2015-08-04 17:14:00
3,310634,2015-08-04 17:14:00,310664,2015-08-04 17:44:00,310664,2015-08-04 17:44:00,310705,2015-08-04 18:25:00,310705,2015-08-04 18:25:00,310706,2015-08-04 18:26:00
4,310706,2015-08-04 18:26:00,310736,2015-08-04 18:56:00,310736,2015-08-04 18:56:00,310769,2015-08-04 19:29:00,310769,2015-08-04 19:29:00,310774,2015-08-04 19:34:00
5,310774,2015-08-04 19:34:00,310805,2015-08-04 20:05:00,310805,2015-08-04 20:05:00,310843,2015-08-04 20:43:00,310843,2015-08-04 20:43:00,310844,2015-08-04 20:44:00
6,310844,2015-08-04 20:44:00,310874,2015-08-04 21:14:00,310874,2015-08-04 21:14:00,310905,2015-08-04 21:45:00,310905,2015-08-04 21:45:00,310913,2015-08-04 21:53:00
7,312033,2015-08-05 16:33:00,312064,2015-08-05 17:04:00,312064,2015-08-05 17:04:00,312101,2015-08-05 17:41:00,312101,2015-08-05 17:41:00,312117,2015-08-05 17:57:00
8,312117,2015-08-05 17:57:00,312157,2015-08-05 18:37:00,312157,2015-08-05 18:37:00,312262,2015-08-05 20:22:00,312262,2015-08-05 20:22:00,312263,2015-08-05 20:23:00
9,313422,2015-08-06 15:42:00,313453,2015-08-06 16:13:00,313453,2015-08-06 16:13:00,313491,2015-08-06 16:51:00,313491,2015-08-06 16:51:00,313589,2015-08-06 18:29:00
10,313589,2015-08-06 18:29:00,313615,2015-08-06 18:55:00,313615,2015-08-06 18:55:00,313647,2015-08-06 19:27:00,313647,2015-08-06 19:27:00,313666,2015-08-06 19:46:00
11,313666,2015-08-06 19:46:00,313729,2015-08-06 20:49:00,313729,2015-08-06 20:49:00,313762,2015-08-06 21:22:00,313762,2015-08-06 21:22:00,313769,2015-08-06 21:29:00
