,0,1,2,3,4,5,6,7,8,9,10,11
0,27,2019-01-01 00:27:00,97,2019-01-01 01:37:00,97,2019-01-01 01:37:00,133,2019-01-01 02:13:00,133,2019-01-01 02:13:00,162,2019-01-01 02:42:00
1,162,2019-01-01 02:42:00,232,2019-01-01 03:52:00,232,2019-01-01 03:52:00,268,2019-01-01 04:28:00,268,2019-01-01 04:28:00,292,2019-01-01 04:52:00
2,292,2019-01-01 04:52:00,362,2019-01-01 06:02:00,362,2019-01-01 06:02:00,397,2019-01-01 06:37:00,397,2019-01-01 06:37:00,442,2019-01-01 07:22:00
3,442,2019-01-01 07:22:00,511,2019-01-01 08:31:00,511,2019-01-01 08:31:00,607,2019-01-01 10:07:00,607,2019-01-01 10:07:00,672,2019-01-01 11:12:00
4,672,2019-01-01 11:12:00,741,2019-01-01 12:21:00,741,2019-01-01 12:21:00,777,2019-01-01 12:57:00,777,2019-01-01 12:57:00,812,2019-01-01 13:32:00
5,812,2019-01-01 13:32:00,881,2019-01-01 14:41:00,881,2019-01-01 14:41:00,916,2019-01-01 15:16:00,916,2019-01-01 15:16:00,947,2019-01-01 15:47:00
6,947,2019-01-01 15:47:00,1017,2019-01-01 16:57:00,1017,2019-01-01 16:57:00,1052,2019-01-01 17:32:00,1052,2019-01-01 17:32:00,1092,2019-01-01 18:12:00
7,1092,2019-01-01 18:12:00,1161,2019-01-01 19:21:00,1161,2019-01-01 19:21:00,1196,2019-01-01 19:56:00,1196,2019-01-01 19:56:00,1242,2019-01-01 20:42:00
8,1242,2019-01-01 20:42:00,1309,2019-01-01 21:49:00,1309,2019-01-01 21:49:00,1405,2019-01-01 23:25:00,1405,2019-01-01 23:25:00,1467,2019-01-02 00:27:00
9,1467,2019-01-02 00:27:00,1535,2019-01-02 01:35:00,1535,2019-01-02 01:35:00,1570,2019-01-02 02:10:00,1570,2019-01-02 02:10:00,1602,2019-01-02 02:42:00
10,1602,2019-01-02 02:42:00,1670,2019-01-02 03:50:00,1670,2019-01-02 03:50:00,1705,2019-01-02 04:25:00,1705,2019-01-02 04:25:00,1732,2019-01-02 04:52:00
11,1732,2019-01-02 04:52:00,1800,2019-01-02 06:00:00,1800,2019-01-02 06:00:00,1835,2019-01-02 06:35:00,1835,2019-01-02 06:35:00,1882,2019-01-02 07:22:00
